Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Main Workers - Persons,Main Workers - Males,Main Workers - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0104,`33,`609,District - Namakkal,Rural,35-39,64741,33916,30825,14253,6802,7451,23406,8854,14552,1012,562,450,306,218,88,2042,766,1276,7666,4682,2984,242,214,28,3654,2778,876,0,0,0,2152,1754,398,4038,3978,60,582,346,236,0,0,0,232,202,30,658,566,92,942,704,238,2094,722,1372,246,88,158,1216,680,536
B0104,`33,`609,District - Namakkal,Rural,40-49,118498,65723,52775,30661,15532,15129,44405,19673,24732,1950,1068,882,428,364,64,3794,1868,1926,11574,7848,3726,370,350,20,5248,3950,1298,6,6,0,3698,2936,762,6100,6020,80,1120,766,354,6,6,0,198,180,18,978,904,74,1702,1428,274,3602,1214,2388,498,244,254,2160,1366,794
B0104,`33,`609,District - Namakkal,Rural,50-59,85663,47533,38130,28614,15483,13131,32829,14790,18039,1692,886,806,156,114,42,2506,1492,1014,5682,4346,1336,254,230,24,2584,1800,784,0,0,0,2146,1610,536,2098,2068,30,670,462,208,0,0,0,120,114,6,666,632,34,1326,1170,156,2116,896,1220,412,240,172,1792,1200,592
B0104,`33,`609,District - Namakkal,Rural,60-69,54438,30654,23784,20463,12339,8124,23749,11137,12612,1340,744,596,130,102,28,1206,752,454,2374,1798,576,22,22,0,1158,842,316,0,0,0,1046,790,256,362,346,16,234,162,72,0,0,0,2,0,2,114,110,4,286,282,4,332,184,148,306,160,146,1314,884,430
B0104,`33,`609,District - Namakkal,Rural,70-79,18752,11790,6962,8253,5626,2627,7657,4106,3551,486,284,202,28,26,2,428,292,136,548,420,128,8,8,0,238,186,52,0,0,0,316,234,82,76,70,6,50,38,12,0,0,0,0,0,0,12,6,6,76,74,2,44,32,12,102,84,18,430,304,126
B0104,`33,`609,District - Namakkal,Rural,80+,3889,2488,1401,1758,1239,519,1499,811,688,140,108,32,8,2,6,52,24,28,96,70,26,10,6,4,72,48,24,0,0,0,86,62,24,12,12,0,20,20,0,0,0,0,6,6,0,8,8,0,6,6,0,4,0,4,32,12,20,80,54,26
B0104,`33,`609,District - Namakkal,Rural,Age not stated,206,101,105,61,35,26,107,46,61,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,4,0,4,6,6,0,6,6,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0104,`33,`609,District - Namakkal,Urban,Total,315810,208699,107111,14924,8882,6042,41410,20313,21097,6070,4034,2036,576,418,158,16384,8476,7908,102462,66330,36132,1186,1058,128,22990,16978,6012,44,38,6,31202,25338,5864,19048,18618,430,6216,4676,1540,38,30,8,3930,3106,824,6584,5694,890,9504,7502,2002,16300,6740,9560,1496,730,766,15446,9738,5708
B0104,`33,`609,District - Namakkal,Urban,`5-9,182,82,100,7,5,2,19,11,8,0,0,0,0,0,0,0,0,0,28,8,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,8,112,50,62
B0104,`33,`609,District - Namakkal,Urban,`10-14,1183,734,449,14,8,6,71,46,25,12,0,12,6,6,0,80,38,42,492,276,216,4,2,2,116,80,36,0,0,0,118,114,4,18,18,0,2,0,2,0,0,0,2,0,2,12,6,6,14,6,8,12,0,12,6,6,0,204,128,76
B0104,`33,`609,District - Namakkal,Urban,15-19,9263,6340,2923,115,70,45,888,552,336,56,40,16,26,18,8,438,208,230,4118,2682,1436,24,18,6,1168,1002,166,0,0,0,1182,920,262,258,244,14,72,60,12,0,0,0,34,18,16,106,62,44,124,86,38,102,38,64,28,12,16,524,310,214
B0104,`33,`609,District - Namakkal,Urban,20-24,24332,16834,7498,390,194,196,2084,1132,952,242,164,78,34,26,8,1068,538,530,9428,6428,3000,46,46,0,2148,1876,272,6,0,6,2506,2120,386,1472,1408,64,252,212,40,12,12,0,928,664,264,484,318,166,728,578,150,1356,392,964,78,38,40,1070,688,382
B0104,`33,`609,District - Namakkal,Urban,25-29,37936,25323,12613,855,433,422,3399,1668,1731,402,262,140,82,58,24,1756,816,940,13366,8428,4938,114,112,2,3170,2514,656,12,12,0,3498,2882,616,2658,2606,52,476,362,114,2,0,2,1458,1130,328,922,768,154,1110,878,232,2798,1144,1654,114,64,50,1744,1186,558
B0104,`33,`609,District - Namakkal,Urban,30-34,40482,26753,13729,1143,660,483,4031,1841,2190,504,320,184,96,76,20,1946,882,1064,13900,8640,5260,176,174,2,3382,2586,796,12,12,0,4412,3636,776,3086,3006,80,616,480,136,6,6,0,600,490,110,930,776,154,1100,824,276,2726,1180,1546,150,36,114,1666,1128,538
B0104,`33,`609,District - Namakkal,Urban,35-39,42948,26592,16356,1376,736,640,5324,2212,3112,644,438,206,54,40,14,2088,998,1090,14608,8468,6140,198,188,10,3120,2118,1002,0,0,0,4244,3304,940,3106,3060,46,866,574,292,12,6,6,292,262,30,1138,998,140,1288,992,296,2628,1036,1592,204,90,114,1758,1072,686
B0104,`33,`609,District - Namakkal,Urban,40-49,75722,49046,26676,3415,1941,1474,10571,5027,5544,1542,956,586,126,84,42,4062,2034,2028,24662,15880,8782,374,326,48,5204,3616,1588,2,2,0,7300,5926,1374,4846,4752,94,1700,1230,470,6,6,0,312,258,54,1450,1300,150,2566,1912,654,3928,1566,2362,316,142,174,3340,2088,1252
B0104,`33,`609,District - Namakkal,Urban,50-59,50763,34335,16428,3572,2107,1465,7801,3854,3947,1378,920,458,90,62,28,2998,1742,1256,14062,9924,4138,170,130,40,3096,2040,1056,12,12,0,4936,4006,930,2738,2674,64,1498,1132,366,0,0,0,254,238,16,1238,1168,70,1816,1534,282,2084,952,1132,306,168,138,2714,1672,1042
B0104,`33,`609,District - Namakkal,Urban,60-69,24449,16561,7888,2659,1720,939,5270,2783,2487,838,582,256,52,42,10,1428,884,544,6188,4346,1842,48,42,6,1270,932,338,0,0,0,2242,1852,390,736,724,12,568,486,82,0,0,0,34,32,2,260,254,6,530,482,48,570,370,200,190,98,92,1566,932,634
B0104,`33,`609,District - Namakkal,Urban,70-79,7199,5136,2063,1124,824,300,1681,1010,671,374,296,78,10,6,4,442,282,160,1378,1074,304,14,6,8,256,172,84,0,0,0,662,504,158,94,90,4,150,128,22,0,0,0,8,6,2,36,36,0,200,190,10,68,50,18,70,56,14,632,406,226
B0104,`33,`609,District - Namakkal,Urban,80+,1220,876,344,247,181,66,257,169,88,72,56,16,0,0,0,78,54,24,208,152,56,14,12,2,44,30,14,0,0,0,100,72,28,30,30,0,14,12,2,0,0,0,2,2,0,8,8,0,20,12,8,14,12,2,20,14,6,92,60,32
B0104,`33,`609,District - Namakkal,Urban,Age not stated,131,87,44,7,3,4,14,8,6,6,0,6,0,0,0,0,0,0,24,24,0,2,0,2,16,12,4,0,0,0,2,2,0,6,6,0,2,0,2,0,0,0,6,6,0,0,0,0,8,8,0,14,0,14,0,0,0,24,18,6
B0104,`33,`610,District - Erode,Total,Total,1110860,693066,417794,173376,103260,70116,331414,163364,168050,19171,11789,7382,1572,1237,335,42142,20447,21695,179174,125295,53879,3908,3404,504,62122,46932,15190,231,184,47,91292,74251,17041,41440,39795,1645,14814,10702,4112,106,97,9,11275,8835,2440,17290,14837,2453,24438,19660,4778,41495,15274,26221,6719,2851,3868,48881,30852,18029
B0104,`33,`610,District - Erode,Total,`5-9,1110,590,520,236,128,108,258,132,126,2,2,0,0,0,0,0,0,0,7,5,2,4,0,4,10,4,6,0,0,0,17,11,6,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9,0,11,2,9,535,276,259
B0104,`33,`610,District - Erode,Total,`10-14,4170,2411,1759,503,267,236,1179,613,566,67,39,28,2,2,0,70,39,31,862,537,325,21,17,4,195,150,45,0,0,0,290,185,105,54,45,9,21,18,3,0,0,0,9,9,0,15,12,3,26,21,5,34,26,8,34,15,19,788,416,372
B0104,`33,`610,District - Erode,Total,15-19,31439,19999,11440,2140,1202,938,8794,5030,3764,277,196,81,48,38,10,717,280,437,9704,5968,3736,57,47,10,2620,2339,281,9,6,3,3288,2368,920,743,709,34,191,159,32,0,0,0,115,69,46,232,174,58,306,193,113,345,106,239,187,93,94,1666,1022,644
B0104,`33,`610,District - Erode,Total,20-24,82114,53796,28318,6324,3319,3005,19896,10315,9581,688,446,242,149,102,47,2168,859,1309,21433,15810,5623,222,186,36,6263,5312,951,21,15,6,7518,6140,1378,3514,3368,146,677,598,79,8,6,2,2704,1788,916,1278,926,352,1497,1044,453,3683,1096,2587,420,154,266,3651,2312,1339
B0104,`33,`610,District - Erode,Total,25-29,127952,82104,45848,11707,6443,5264,31961,15236,16725,1309,854,455,221,197,24,4222,1738,2484,27990,20190,7800,338,295,43,8843,7030,1813,51,33,18,10960,9194,1766,6279,6036,243,1235,930,305,20,20,0,3758,2941,817,2721,2182,539,3051,2325,726,7302,2836,4466,640,208,432,5344,3416,1928
B0104,`33,`610,District - Erode,Total,30-34,133646,84249,49397,14737,8255,6482,34612,16109,18503,1587,1025,562,196,144,52,5175,2104,3071,26929,18470,8459,589,499,90,9026,6937,2089,30,30,0,12845,10851,1994,6670,6478,192,1453,1019,434,22,17,5,1983,1707,276,2492,2104,388,2959,2360,599,6306,2407,3899,710,283,427,5325,3450,1875
B0104,`33,`610,District - Erode,Total,35-39,142643,82786,59857,18073,9648,8425,42301,18414,23887,1929,1170,759,243,189,54,5897,2387,3510,24987,16060,8927,668,601,67,8658,6095,2563,15,15,0,12603,10021,2582,6516,6248,268,2076,1440,636,21,21,0,851,702,149,2351,1988,363,2866,2231,635,6286,2027,4259,733,234,499,5569,3295,2274
B0104,`33,`610,District - Erode,Total,40-49,258388,156280,102108,40448,22651,17797,80748,38562,42186,4461,2699,1762,391,297,94,10859,5318,5541,36637,25212,11425,1234,1111,123,14303,10237,4066,41,35,6,21178,17125,4053,9867,9451,416,4360,3026,1334,24,24,0,909,810,99,4154,3704,450,6427,5213,1214,10368,3524,6844,1471,604,867,10508,6677,3831
B0104,`33,`610,District - Erode,Total,50-59,184569,116213,68356,37852,22723,15129,59332,29854,29478,4086,2489,1597,205,176,29,7202,4138,3064,19483,14445,5038,626,545,81,7991,5763,2228,27,21,6,13741,11335,2406,6392,6136,256,3009,2283,726,3,3,0,821,703,118,3028,2788,240,5686,4838,848,5915,2442,3473,1294,546,748,7876,4985,2891
B0104,`33,`610,District - Erode,Total,60-69,103330,65474,37856,27524,18163,9361,38179,20379,17800,3185,1832,1353,71,60,11,4148,2480,1668,8611,6555,2056,93,62,31,3269,2322,947,22,14,8,6554,5221,1333,1130,1069,61,1462,1016,446,2,0,2,92,76,16,811,758,53,1132,986,146,933,589,344,804,466,338,5308,3426,1882
B0104,`33,`610,District - Erode,Total,70-79,34372,24041,10331,11400,8492,2908,11864,7314,4550,1297,835,462,30,18,12,1438,951,487,2111,1713,398,42,32,10,798,628,170,3,3,0,1858,1456,402,233,217,16,291,186,105,6,6,0,18,15,3,187,180,7,418,390,28,254,173,81,332,193,139,1792,1239,553
B0104,`33,`610,District - Erode,Total,80+,6646,4817,1829,2381,1943,438,2147,1339,808,277,196,81,16,14,2,229,144,85,367,285,82,14,9,5,130,101,29,12,12,0,393,308,85,24,20,4,39,27,12,0,0,0,6,6,0,18,18,0,53,44,9,26,21,5,81,53,28,433,277,156
B0104,`33,`610,District - Erode,Total,Age not stated,481,306,175,51,26,25,143,67,76,6,6,0,0,0,0,17,9,8,53,45,8,0,0,0,16,14,2,0,0,0,47,36,11,6,6,0,0,0,0,0,0,0,9,9,0,3,3,0,8,6,2,34,18,16,2,0,2,86,61,25
B0104,`33,`610,District - Erode,Rural,Total,579706,338561,241145,134561,79619,54942,240649,118526,122123,9868,5464,4404,836,630,206,21242,10464,10778,63160,44148,19012,1552,1374,178,22726,17316,5410,180,138,42,20354,16068,4286,14322,14002,320,3494,2444,1050,38,38,0,3070,2462,608,4038,3554,484,6888,5530,1358,13988,5126,8862,3518,1468,2050,15222,10190,5032
B0104,`33,`610,District - Erode,Rural,`5-9,654,341,313,209,112,97,215,111,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,14,8,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,6,0,6,186,92,94
B0104,`33,`610,District - Erode,Rural,`10-14,2503,1442,1061,457,241,216,954,497,457,56,36,20,2,2,0,38,16,22,420,268,152,0,0,0,68,52,16,0,0,0,80,66,14,12,12,0,12,12,0,0,0,0,0,0,0,6,6,0,18,18,0,16,14,2,12,0,12,352,202,150
B0104,`33,`610,District - Erode,Rural,15-19,17523,10717,6806,1908,1066,842,6669,3737,2932,200,136,64,20,18,2,442,164,278,4892,2940,1952,18,12,6,1120,1010,110,6,6,0,802,598,204,334,328,6,68,66,2,0,0,0,32,20,12,74,50,24,126,86,40,124,26,98,100,50,50,588,404,184
B0104,`33,`610,District - Erode,Rural,20-24,42853,26664,16189,5354,2773,2581,15049,7699,7350,398,244,154,102,66,36,1090,444,646,9790,7286,2504,110,86,24,2562,2162,400,18,12,6,1930,1570,360,1618,1564,54,200,188,12,6,6,0,782,538,244,356,270,86,498,374,124,1396,456,940,272,84,188,1322,842,480
B0104,`33,`610,District - Erode,Rural,25-29,65788,39730,26058,9625,5272,4353,23969,11334,12635,764,480,284,144,130,14,2270,986,1284,11356,8438,2918,138,120,18,3604,2870,734,42,24,18,2836,2324,512,2696,2642,54,342,230,112,18,18,0,1092,896,196,770,680,90,1158,872,286,2780,1126,1654,380,126,254,1804,1162,642
B0104,`33,`610,District - Erode,Rural,30-34,66465,39159,27306,11673,6499,5174,25572,11930,13642,788,498,290,116,78,38,2522,1066,1456,9604,6676,2928,258,208,50,3538,2732,806,24,24,0,3076,2614,462,2546,2518,28,372,216,156,8,8,0,602,522,80,728,654,74,968,770,198,2096,862,1234,332,144,188,1642,1140,502
B0104,`33,`610,District - Erode,Rural,35-39,70916,37726,33190,14219,7575,6644,30877,13475,17402,904,470,434,112,90,22,2884,1214,1670,7854,4998,2856,288,274,14,2964,2082,882,12,12,0,2702,2056,646,2356,2298,58,434,264,170,6,6,0,190,160,30,544,460,84,744,582,162,1972,646,1326,324,76,248,1530,988,542
B0104,`33,`610,District - Erode,Rural,40-49,130923,73172,57751,31404,17500,13904,57783,27690,30093,2194,1160,1034,186,118,68,5420,2740,2680,10818,7302,3516,460,420,40,4810,3530,1280,30,24,6,4258,3366,892,2810,2740,70,974,664,310,0,0,0,196,188,8,936,848,88,1704,1396,308,3264,1108,2156,698,278,420,2978,2100,878
B0104,`33,`610,District - Erode,Rural,50-59,96527,55613,40914,28734,17171,11563,42219,21226,20993,2022,1074,948,100,86,14,3512,1964,1548,5376,3910,1466,238,224,14,2430,1708,722,18,12,6,2570,1926,644,1670,1630,40,648,500,148,0,0,0,156,120,36,464,446,18,1288,1114,174,2034,732,1302,696,294,402,2352,1476,876
B0104,`33,`610,District - Erode,Rural,60-69,60134,36330,23804,20704,13621,7083,27192,14507,12685,1662,808,854,26,24,2,2178,1302,876,2252,1690,562,24,18,6,1256,878,378,18,12,6,1450,1056,394,232,224,8,370,254,116,0,0,0,8,6,2,130,110,20,278,228,50,196,94,102,470,282,188,1688,1216,472
B0104,`33,`610,District - Erode,Rural,70-79,20953,14434,6519,8459,6308,2151,8496,5284,3212,696,426,270,16,6,10,748,484,264,658,534,124,18,12,6,318,258,60,0,0,0,504,380,124,34,32,2,68,44,24,0,0,0,6,6,0,24,24,0,70,60,10,70,38,32,182,96,86,586,442,144
B0104,`33,`610,District - Erode,Rural,80+,4181,3068,1113,1776,1463,313,1539,979,560,178,126,52,12,12,0,124,78,46,120,88,32,0,0,0,48,34,14,12,12,0,114,92,22,8,8,0,6,6,0,0,0,0,6,6,0,6,6,0,28,24,4,2,0,2,44,38,6,158,96,62
B0104,`33,`610,District - Erode,Rural,Age not stated,286,165,121,39,18,21,115,57,58,6,6,0,0,0,0,14,6,8,20,18,2,0,0,0,2,0,2,0,0,0,18,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,32,18,14,2,0,2,36,30,6
B0104,`33,`610,District - Erode,Urban,Total,531154,354505,176649,38815,23641,15174,90765,44838,45927,9303,6325,2978,736,607,129,20900,9983,10917,116014,81147,34867,2356,2030,326,39396,29616,9780,51,46,5,70938,58183,12755,27118,25793,1325,11320,8258,3062,68,59,9,8205,6373,1832,13252,11283,1969,17550,14130,3420,27507,10148,17359,3201,1383,1818,33659,20662,12997
B0104,`33,`610,District - Erode,Urban,`5-9,456,249,207,27,16,11,43,21,22,2,2,0,0,0,0,0,0,0,7,5,2,4,0,4,4,4,0,0,0,0,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,2,3,349,184,165
B0104,`33,`610,District - Erode,Urban,`10-14,1667,969,698,46,26,20,225,116,109,11,3,8,0,0,0,32,23,9,442,269,173,21,17,4,127,98,29,0,0,0,210,119,91,42,33,9,9,6,3,0,0,0,9,9,0,9,6,3,8,3,5,18,12,6,22,15,7,436,214,222
B0104,`33,`610,District - Erode,Urban,15-19,13916,9282,4634,232,136,96,2125,1293,832,77,60,17,28,20,8,275,116,159,4812,3028,1784,39,35,4,1500,1329,171,3,0,3,2486,1770,716,409,381,28,123,93,30,0,0,0,83,49,34,158,124,34,180,107,73,221,80,141,87,43,44,1078,618,460
B0104,`33,`610,District - Erode,Urban,20-24,39261,27132,12129,970,546,424,4847,2616,2231,290,202,88,47,36,11,1078,415,663,11643,8524,3119,112,100,12,3701,3150,551,3,3,0,5588,4570,1018,1896,1804,92,477,410,67,2,0,2,1922,1250,672,922,656,266,999,670,329,2287,640,1647,148,70,78,2329,1470,859
B0104,`33,`610,District - Erode,Urban,25-29,62164,42374,19790,2082,1171,911,7992,3902,4090,545,374,171,77,67,10,1952,752,1200,16634,11752,4882,200,175,25,5239,4160,1079,9,9,0,8124,6870,1254,3583,3394,189,893,700,193,2,2,0,2666,2045,621,1951,1502,449,1893,1453,440,4522,1710,2812,260,82,178,3540,2254,1286
B0104,`33,`610,District - Erode,Urban,30-34,67181,45090,22091,3064,1756,1308,9040,4179,4861,799,527,272,80,66,14,2653,1038,1615,17325,11794,5531,331,291,40,5488,4205,1283,6,6,0,9769,8237,1532,4124,3960,164,1081,803,278,14,9,5,1381,1185,196,1764,1450,314,1991,1590,401,4210,1545,2665,378,139,239,3683,2310,1373
B0104,`33,`610,District - Erode,Urban,35-39,71727,45060,26667,3854,2073,1781,11424,4939,6485,1025,700,325,131,99,32,3013,1173,1840,17133,11062,6071,380,327,53,5694,4013,1681,3,3,0,9901,7965,1936,4160,3950,210,1642,1176,466,15,15,0,661,542,119,1807,1528,279,2122,1649,473,4314,1381,2933,409,158,251,4039,2307,1732
B0104,`33,`610,District - Erode,Urban,40-49,127465,83108,44357,9044,5151,3893,22965,10872,12093,2267,1539,728,205,179,26,5439,2578,2861,25819,17910,7909,774,691,83,9493,6707,2786,11,11,0,16920,13759,3161,7057,6711,346,3386,2362,1024,24,24,0,713,622,91,3218,2856,362,4723,3817,906,7104,2416,4688,773,326,447,7530,4577,2953
B0104,`33,`610,District - Erode,Urban,50-59,88042,60600,27442,9118,5552,3566,17113,8628,8485,2064,1415,649,105,90,15,3690,2174,1516,14107,10535,3572,388,321,67,5561,4055,1506,9,9,0,11171,9409,1762,4722,4506,216,2361,1783,578,3,3,0,665,583,82,2564,2342,222,4398,3724,674,3881,1710,2171,598,252,346,5524,3509,2015
B0104,`33,`610,District - Erode,Urban,60-69,43196,29144,14052,6820,4542,2278,10987,5872,5115,1523,1024,499,45,36,9,1970,1178,792,6359,4865,1494,69,44,25,2013,1444,569,4,2,2,5104,4165,939,898,845,53,1092,762,330,2,0,2,84,70,14,681,648,33,854,758,96,737,495,242,334,184,150,3620,2210,1410
B0104,`33,`610,District - Erode,Urban,70-79,13419,9607,3812,2941,2184,757,3368,2030,1338,601,409,192,14,12,2,690,467,223,1453,1179,274,24,20,4,480,370,110,3,3,0,1354,1076,278,199,185,14,223,142,81,6,6,0,12,9,3,163,156,7,348,330,18,184,135,49,150,97,53,1206,797,409
B0104,`33,`610,District - Erode,Urban,80+,2465,1749,716,605,480,125,608,360,248,99,70,29,4,2,2,105,66,39,247,197,50,14,9,5,82,67,15,0,0,0,279,216,63,16,12,4,33,21,12,0,0,0,0,0,0,12,12,0,25,20,5,24,21,3,37,15,22,275,181,94
B0104,`33,`610,District - Erode,Urban,Age not stated,195,141,54,12,8,4,28,10,18,0,0,0,0,0,0,3,3,0,33,27,6,0,0,0,14,14,0,0,0,0,29,24,5,6,6,0,0,0,0,0,0,0,9,9,0,3,3,0,6,6,0,2,0,2,0,0,0,50,31,19
B0104,`33,`611,District - The Nilgiris,Total,Total,318308,195732,122576,14592,9376,5216,71738,37400,34338,109782,54318,55464,138,94,44,1760,1078,682,15254,12610,2644,1296,1158,138,19040,15842,3198,20,20,0,18268,16226,2042,13058,12794,264,5158,4382,776,10,8,2,1896,1624,272,3376,2764,612,15164,13032,2132,13862,5346,8516,1008,308,700,12888,7352,5536
B0104,`33,`611,District - The Nilgiris,Total,`5-9,282,150,132,60,28,32,50,32,18,24,8,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,70,60
B0104,`33,`611,District - The Nilgiris,Total,`10-14,760,450,310,93,44,49,193,110,83,122,56,66,0,0,0,8,2,6,30,30,0,6,6,0,26,20,6,0,0,0,36,32,4,36,36,0,18,18,0,0,0,0,0,0,0,0,0,0,6,0,6,18,8,10,14,12,2,154,76,78
B0104,`33,`611,District - The Nilgiris,Total,15-19,6886,4761,2125,281,175,106,1791,1038,753,1498,856,642,0,0,0,16,8,8,458,304,154,2,2,0,500,426,74,0,0,0,402,354,48,284,284,0,146,124,22,0,0,0,14,0,14,32,26,6,740,718,22,132,50,82,34,8,26,556,388,168
B0104,`33,`611,District - The Nilgiris,Total,20-24,22814,15487,7327,809,518,291,5019,2939,2080,5532,2998,2534,16,16,0,86,50,36,1750,1388,362,36,36,0,1460,1352,108,0,0,0,1738,1520,218,1302,1262,40,512,456,56,0,0,0,380,274,106,170,114,56,1704,1574,130,1012,236,776,102,46,56,1186,708,478
B0104,`33,`611,District - The Nilgiris,Total,25-29,36368,23707,12661,1278,788,490,7906,4231,3675,10496,5258,5238,18,16,2,170,110,60,2536,2114,422,74,74,0,2482,2176,306,6,6,0,2472,2160,312,2438,2400,38,584,524,60,2,2,0,594,518,76,460,358,102,1534,1330,204,1802,688,1114,96,32,64,1420,922,498
B0104,`33,`611,District - The Nilgiris,Total,30-34,40991,25216,15775,1583,1010,573,8906,4476,4430,13140,6138,7002,6,6,0,212,120,92,2104,1740,364,178,166,12,3002,2540,462,8,8,0,2618,2364,254,2312,2280,32,680,600,80,0,0,0,276,240,36,412,304,108,1828,1590,238,2054,834,1220,132,10,122,1540,790,750
B0104,`33,`611,District - The Nilgiris,Total,35-39,45232,26344,18888,1822,1127,695,10144,4863,5281,15924,7122,8802,14,6,8,240,120,120,2032,1632,400,204,172,32,3084,2458,626,0,0,0,2444,2192,252,2044,2018,26,778,668,110,0,0,0,194,180,14,446,362,84,1972,1700,272,2094,790,1304,184,46,138,1612,888,724
B0104,`33,`611,District - The Nilgiris,Total,40-49,82947,49176,33771,3664,2337,1327,18673,9543,9130,30150,14462,15688,58,32,26,478,320,158,3506,2948,558,550,486,64,4994,4056,938,6,6,0,4584,4088,496,2710,2640,70,1280,1044,236,0,0,0,232,212,20,986,794,192,4034,3282,752,4050,1464,2586,184,32,152,2808,1430,1378
B0104,`33,`611,District - The Nilgiris,Total,50-59,54899,33770,21129,2889,1891,998,12124,6397,5727,21468,11066,10402,14,6,8,312,196,116,2184,1870,314,216,186,30,2356,1902,454,0,0,0,2602,2306,296,1664,1608,56,840,678,162,8,6,2,194,188,6,698,648,50,3024,2556,468,2248,1068,1180,150,60,90,1908,1138,770
B0104,`33,`611,District - The Nilgiris,Total,60-69,21312,12975,8337,1550,1063,487,5472,2954,2518,9168,5014,4154,12,12,0,180,100,80,522,464,58,12,12,0,922,740,182,0,0,0,1068,950,118,218,216,2,256,214,42,0,0,0,12,12,0,134,122,12,270,236,34,336,146,190,70,36,34,1110,684,426
B0104,`33,`611,District - The Nilgiris,Total,70-79,4622,2939,1683,444,309,135,1202,690,512,1826,1076,750,0,0,0,46,40,6,80,76,4,12,12,0,164,134,30,0,0,0,250,220,30,32,32,0,50,42,8,0,0,0,0,0,0,26,24,2,38,38,0,78,42,36,38,24,14,336,180,156
B0104,`33,`611,District - The Nilgiris,Total,80+,946,598,348,112,79,33,196,97,99,380,228,152,0,0,0,6,6,0,32,30,2,6,6,0,36,30,6,0,0,0,42,28,14,6,6,0,14,14,0,0,0,0,0,0,0,12,12,0,0,0,0,16,14,2,4,2,2,84,46,38
B0104,`33,`611,District - The Nilgiris,Total,Age not stated,249,159,90,7,7,0,62,30,32,54,36,18,0,0,0,6,6,0,20,14,6,0,0,0,8,8,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,22,6,16,0,0,0,44,32,12
B0104,`33,`611,District - The Nilgiris,Rural,Total,146819,82629,64190,10981,6726,4255,45982,23331,22651,58834,28670,30164,66,32,34,974,580,394,4658,3876,782,402,384,18,4502,3948,554,8,8,0,3962,3486,476,4036,3966,70,1276,1070,206,0,0,0,472,402,70,682,558,124,2042,1734,308,3884,1660,2224,526,174,352,3532,2024,1508
